ID	Gene.Symbol
ACSL3	fusion
ACSL6	fusion
AFF1	fusion
AKAP9	fusion
ALDH2	fusion
A1CF	oncogene
ACVR1	oncogene
AKT1	oncogene
AKT2	oncogene
AKT3	oncogene
ABL1	oncogene, fusion
ABL2	oncogene, fusion
ACKR3	oncogene, fusion
AFDN	oncogene, fusion
AFF3	oncogene, fusion
AFF4	oncogene, fusion
ALK	oncogene, fusion
gene	Role in Cancer
ACVR1B	TSG
ACVR2A	TSG
AMER1	TSG
ABI1	TSG, fusion
ANK1	CGC
APC	CGC
APOBEC3B	CGC
AR	CGC
ARAF	CGC
ARHGAP26	CGC
ARHGAP35	CGC
ARHGAP5	CGC
ARHGEF10	CGC
ARHGEF10L	CGC
ARHGEF12	CGC
ARID1A	CGC
ARID1B	CGC
ARID2	CGC
ARNT	CGC
ASPM	CGC
ASPSCR1	CGC
ASXL1	CGC
ASXL2	CGC
ATF1	CGC
ATIC	CGC
ATM	CGC
ATP1A1	CGC
ATP2B3	CGC
ATR	CGC
ATRX	CGC
AXIN1	CGC
AXIN2	CGC
B2M	CGC
BAP1	CGC
BARD1	CGC
BAX	CGC
BAZ1A	CGC
BCL10	CGC
BCL11A	CGC
BCL11B	CGC
BCL2	CGC
BCL2L12	CGC
BCL3	CGC
BCL6	CGC
BCL7A	CGC
BCL9	CGC
BCL9L	CGC
BCLAF1	CGC
BCOR	CGC
BCORL1	CGC
BCR	CGC
BIRC3	CGC
BIRC6	CGC
BLM	CGC
BMP5	CGC
BMPR1A	CGC
BRAF	CGC
BRCA1	CGC
BRCA2	CGC
BRD3	CGC
BRD4	CGC
BRIP1	CGC
BTG1	CGC
BTG2	CGC
BTK	CGC
BUB1B	CGC
C15orf65	CGC
CACNA1D	CGC
CALR	CGC
CAMTA1	CGC
CANT1	CGC
CARD11	CGC
CARS	CGC
CASP3	CGC
CASP8	CGC
CASP9	CGC
CBFA2T3	CGC
CBFB	CGC
CBL	CGC
CBLB	CGC
CBLC	CGC
CCDC6	CGC
CCNB1IP1	CGC
CCNC	CGC
CCND1	CGC
CCND2	CGC
CCND3	CGC
CCNE1	CGC
CCR4	CGC
CCR7	CGC
CD209	CGC
CD274	CGC
CD28	CGC
CD74	CGC
CD79A	CGC
CD79B	CGC
CDC73	CGC
CDH1	CGC
CDH10	CGC
CDH11	CGC
CDH17	CGC
CDK12	CGC
CDK4	CGC
CDK6	CGC
CDKN1A	CGC
CDKN1B	CGC
CDKN2A	CGC
CDKN2C	CGC
CDX2	CGC
CEBPA	CGC
CEP89	CGC
CHCHD7	CGC
CHD2	CGC
CHD4	CGC
CHEK2	CGC
CHIC2	CGC
CHST11	CGC
CIC	CGC
CIITA	CGC
CLIP1	CGC
CLP1	CGC
CLTC	CGC
CLTCL1	CGC
CNBD1	CGC
CNBP	CGC
CNOT3	CGC
CNTNAP2	CGC
CNTRL	CGC
COL1A1	CGC
COL2A1	CGC
COL3A1	CGC
COX6C	CGC
CPEB3	CGC
CREB1	CGC
CREB3L1	CGC
CREB3L2	CGC
CREBBP	CGC
CRLF2	CGC
CRNKL1	CGC
CRTC1	CGC
CRTC3	CGC
CSF1R	CGC
CSF3R	CGC
CSMD3	CGC
CTCF	CGC
CTNNA1	CGC
CTNNA2	CGC
CTNNB1	CGC
CTNND1	CGC
CTNND2	CGC
CUL3	CGC
CUX1	CGC
CXCR4	CGC
CYLD	CGC
CYP2C8	CGC
CYSLTR2	CGC
DAXX	CGC
DCAF12L2	CGC
DCC	CGC
DCTN1	CGC
DDB2	CGC
DDIT3	CGC
DDR2	CGC
DDX10	CGC
DDX3X	CGC
DDX5	CGC
DDX6	CGC
DEK	CGC
DGCR8	CGC
DICER1	CGC
DNAJB1	CGC
DNM2	CGC
DNMT3A	CGC
DROSHA	CGC
DUX4L1	CGC
EBF1	CGC
ECT2L	CGC
EED	CGC
EGFR	CGC
EIF1AX	CGC
EIF3E	CGC
EIF4A2	CGC
ELF3	CGC
ELF4	CGC
ELK4	CGC
ELL	CGC
ELN	CGC
EML4	CGC
EP300	CGC
EPAS1	CGC
EPHA3	CGC
EPHA7	CGC
EPS15	CGC
ERBB2	CGC
ERBB3	CGC
ERBB4	CGC
ERC1	CGC
ERCC2	CGC
ERCC3	CGC
ERCC4	CGC
ERCC5	CGC
ERG	CGC
ESR1	CGC
ETNK1	CGC
ETV1	CGC
ETV4	CGC
ETV5	CGC
ETV6	CGC
EWSR1	CGC
EXT1	CGC
EXT2	CGC
